00:04:40.975 [http-nio-8080-exec-7] WARN  org.springframework.web.servlet.mvc.support.DefaultHandlerExceptionResolver - Resolved [org.springframework.http.converter.HttpMessageNotReadableException: JSON parse error: Cannot deserialize instance of `java.lang.Long` out of START_OBJECT token; nested exception is com.fasterxml.jackson.databind.exc.MismatchedInputException: Cannot deserialize instance of `java.lang.Long` out of START_OBJECT token
 at [Source: (PushbackInputStream); line: 4, column: 13] (through reference chain: ro.fasttrackit.vetclinic.model.ConsultationDto["petId"])] <no request,no span> 
18:58:26.086 [main] INFO  ro.fasttrackit.vetclinic.VetclinicApplication - Starting VetclinicApplication using Java 15 on DESKTOP-SU0I9BM with PID 12060 (C:\Work\spring-vet-clinic\vet-clinic\build\classes\java\main started by Acer in C:\Work\spring-vet-clinic) <no request,no span> 
18:58:26.094 [main] DEBUG ro.fasttrackit.vetclinic.VetclinicApplication - Running with Spring Boot v2.4.2, Spring v5.3.3 <no request,no span> 
18:58:26.095 [main] INFO  ro.fasttrackit.vetclinic.VetclinicApplication - The following profiles are active: usage_message <no request,no span> 
18:58:29.131 [main] INFO  org.springframework.data.repository.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode. <no request,no span> 
18:58:29.330 [main] INFO  org.springframework.data.repository.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 171 ms. Found 5 JPA repository interfaces. <no request,no span> 
18:58:31.173 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http) <no request,no span> 
18:58:31.191 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"] <no request,no span> 
18:58:31.192 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat] <no request,no span> 
18:58:31.193 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.41] <no request,no span> 
18:58:31.468 [main] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext <no request,no span> 
18:58:31.469 [main] INFO  org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 5234 ms <no request,no span> 
18:58:32.231 [main] INFO  org.hibernate.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default] <no request,no span> 
18:58:32.378 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 5.4.27.Final <no request,no span> 
18:58:32.901 [main] INFO  org.hibernate.annotations.common.Version - HCANN000001: Hibernate Commons Annotations {5.1.2.Final} <no request,no span> 
18:58:33.108 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting... <no request,no span> 
18:58:33.530 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed. <no request,no span> 
18:58:33.572 [main] INFO  org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.PostgreSQL95Dialect <no request,no span> 
